feature_id,feature_name,cn_meaning,technical_definition,formula,source_table,category,owner_team,applicable_scene,population,sample_scope,grain,time_window,stat_method,derive_type,logic_ref,status,version,synced_at,definition_source,definition_confidence
feat_income_avg_v1,fixture_income_avg_30d,近30日示例收入均值,示例客户在观察日前30日合成收入值的均值,AVG(fixture_income),fixture_customer_wide,income,fixture_data_team,fixture_credit|fixture_marketing,fixture_customer,fixture_only,customer_snapshot,30d,avg,sql,logic/sql/fixture_customer_features.sql,deprecated,1.0.0,2026-07-01,sql,verified
feat_income_avg_v2,fixture_income_avg_30d,近30日示例收入均值,示例客户在观察日前30日合成收入值的均值；替代版本,AVG(fixture_income) WHERE fixture_valid=1,fixture_customer_wide,income,fixture_data_team,fixture_credit|fixture_marketing,fixture_customer,fixture_only,customer_snapshot,30d,avg,sql,logic/sql/fixture_customer_features.sql,active,2.0.0,2026-07-15,sql,verified
feat_payment_cnt,fixture_payment_count_30d,近30日示例支付次数,示例客户在观察日前30日合成支付事件数量,COUNT(fixture_payment_id),fixture_customer_wide,transaction,fixture_data_team,fixture_credit,fixture_customer,fixture_only,customer_snapshot,30d,count,sql,logic/sql/fixture_customer_features.sql,active,1.0.0,2026-07-15,sql,verified
feat_payment_amt,fixture_payment_amount_sum_30d,近30日示例支付金额,示例客户在观察日前30日合成支付金额之和,SUM(fixture_payment_amount),fixture_customer_wide,transaction,fixture_data_team,fixture_credit,fixture_customer,fixture_only,customer_snapshot,30d,sum,sql,logic/sql/fixture_customer_features.sql,active,1.0.0,2026-07-15,sql,verified
feat_device_change,fixture_device_change_count_7d,近7日示例设备变更次数,示例客户在观察日前7日合成设备标识变更次数,COUNT(DISTINCT fixture_device_id)-1,fixture_customer_wide,device,fixture_data_team,fixture_marketing,fixture_customer,fixture_only,customer_snapshot,7d,count,sql,logic/sql/fixture_customer_features.sql,active,1.0.0,2026-07-15,sql,reviewed
feat_account_age,fixture_account_age_days,示例账户存续天数,示例账户从合成开户日到观察日的天数,DATEDIFF(observation_date;fixture_open_date),fixture_account_wide,account,fixture_data_team,fixture_credit,fixture_customer,fixture_only,account_snapshot,all,days,sql,logic/sql/fixture_account_features.sql,active,1.0.0,2026-07-15,sql,verified
feat_balance_max,fixture_balance_max_90d,近90日示例余额最大值,示例账户在观察日前90日合成余额的最大值,MAX(fixture_balance),fixture_account_wide,balance,fixture_data_team,fixture_credit,fixture_customer,fixture_only,account_snapshot,90d,max,sql,logic/sql/fixture_account_features.sql,active,1.0.0,2026-07-15,sql,verified
feat_old_flag,fixture_retired_flag,已下线示例标记,历史示例规则输出的布尔标记,CASE WHEN fixture_event=1 THEN 1 ELSE 0 END,fixture_account_wide,legacy,fixture_data_team,fixture_credit,fixture_customer,fixture_only,account_snapshot,all,flag,sql,logic/sql/fixture_account_features.sql,deprecated,1.0.0,2026-07-15,manual_confirmed,reviewed
feat_pboc_util,fixture_pboc_utilization_ratio,示例报文额度使用率,示例报文中的合成已用额度除以合成授信额度,fixture_used_limit/fixture_credit_limit,fixture_pboc_wide,pboc,fixture_risk_team,fixture_credit,fixture_customer,fixture_only,customer_snapshot,latest,ratio,python,logic/python/fixture_pboc_features.py,active,1.0.0,2026-07-15,python,verified
feat_pboc_query,fixture_pboc_query_count_6m,近6月示例报文查询次数,示例报文中的合成查询记录数,COUNT(fixture_query),fixture_pboc_wide,pboc,fixture_risk_team,fixture_credit,fixture_customer,fixture_only,customer_snapshot,6m,count,python,logic/python/fixture_pboc_features.py,active,1.0.0,2026-07-15,python,verified
feat_inferred,fixture_unverified_signal,未核验示例信号,,未入库,fixture_pboc_wide,unknown,fixture_risk_team,fixture_credit,fixture_customer,fixture_only,customer_snapshot,unknown,unknown,unknown,,draft,0.1.0,2026-07-15,name_inference,unverified
